 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   500000000.000000        11745854.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9929029.00000000,6.698238145244624E-004)
 (30284.3170666537,-2.043015160682308E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
 11     0.9399337736E-001+/-     0.030151%    +i  -0.1059511583E+000+/-     0.030151%
 12     0.9641085938E-001+/-     0.030429%    +i  -0.1002127100E+000+/-     0.030429%
 13     0.1009527022E+000+/-     0.030345%    +i  -0.9675593364E-001+/-     0.030345%
 14     0.1070829534E+000+/-     0.030015%    +i  -0.9465844302E-001+/-     0.030015%
 15     0.1128168610E+000+/-     0.029748%    +i  -0.9188091317E-001+/-     0.029748%
 16     0.1130269424E+000+/-     0.030192%    +i  -0.8471280135E-001+/-     0.030192%
 17     0.1101975018E+000+/-     0.031023%    +i  -0.7585455280E-001+/-     0.031023%
 18     0.1192632355E+000+/-     0.030220%    +i  -0.7519923703E-001+/-     0.030220%
 19     0.1067921456E+000+/-     0.032325%    +i  -0.6147586639E-001+/-     0.032325%
 20     0.1244717195E+000+/-     0.030275%    +i  -0.6511833605E-001+/-     0.030275%
